mod_num,time_to_create,nfolds,distribution,model_id,ntrees,max_depth,learn_rate,min_split_improvement,sample_rate,nbins,categorical_encoding,seed,col_sample_rate_per_tree,r_2,r_2_valid,mse,mse_valid,rmse,rmse_valid,rmsle,rmsle_valid,mae,mae_valid
28,31.916999999999916,5,gaussian,temp_forest_mod,300,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0012519714722930564,9.43775337908126e-4,1.5457654377023984,1.5453133971671316,1.2432881555385293,1.2431063499021842,0.15915262835765856,0.15963416088302051,0.9896803996597061,0.9887109469237196
29,43.85100000000011,5,gaussian,temp_forest_mod,500,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.002063043063953107,0.0015682352942331113,1.5445101396711838,1.5443474992399857,1.2427832231210654,1.242717787448134,0.15909792183702534,0.15959390844817192,0.989218761903228,0.9883474923627167
30,78.19500000000016,5,gaussian,temp_forest_mod,1000,5,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.004004710432502945,0.0030325631862200275,1.5415050150310448,1.5420825160954201,1.2415736043549914,1.2418061507721003,0.15896662272283868,0.15949950089893544,0.988112107350781,0.9874925622808285
31,37.69800000000032,5,gaussian,temp_forest_mod,300,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0017431248918603481,0.0010923135533023043,1.5450052780235897,1.5450836422358538,1.242982412596248,1.2430139348518399,0.1591176670707524,0.1596222758851112,0.9894223209811303,0.9886492453795026
32,62.01399999999967,5,gaussian,temp_forest_mod,500,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0028705295252838825,0.0018072670521607215,1.5432603903573576,1.543977771322021,1.2422803187515117,1.2425690207477496,0.15904040330561486,0.159574706545328,0.988794685585303,0.9882483951285448
33,110.596,5,gaussian,temp_forest_mod,1000,7,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.00558475715985729,0.0034790044387629226,1.5390595717847642,1.5413919727290186,1.24058839740857,1.2415280797183037,0.15885378880635956,0.1594635070400463,0.9872821881794933,0.9873100482681632
34,65.33099999999968,5,gaussian,temp_forest_mod,300,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.0030282173650115762,0.0012434786117886398,1.5430163363961635,1.5448498241740711,1.2421820866508113,1.2429198784209992,0.1590250449626665,0.15961056839861867,0.9887744028046663,0.9885796206153284
35,101.40599999999995,5,gaussian,temp_forest_mod,500,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.004989577470933315,0.002051737998466696,1.5399807332449948,1.5435996302132236,1.240959601777993,1.2424168504222821,0.15888752357027647,0.15955558949576465,0.9877259520059205,0.988135740974966
36,199.7739999999999,5,gaussian,temp_forest_mod,1000,10,1e-4,1e-4,0.632,56,Eigen,16,0.8,0.009750637893436886,0.003956841315164383,1.532612025184797,1.5406528674529232,1.2379870860331286,1.2412303845188948,0.15855269498267516,0.15942561506341685,0.985170942381915,0.9870905949480263
37,21.44900000000007,5,gamma,temp_forest_mod,300,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.0035025510812555227,0.00373815462893623,1.5422822086246297,1.5409911261591585,1.2418865522360043,1.2413666364773779,0.1590017222244884,0.15944899613544783,0.9883545434116584,0.9870040431836035
38,26.463999999999942,5,gamma,temp_forest_mod,500,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.005237467571177823,0.005545461030941556,1.5395970729639614,1.5381956330458961,1.2408050100495087,1.2402401513601695,0.15888665746051864,0.15933035163363954,0.9872152322331194,0.9857926465498857
39,41.67500000000018,5,gamma,temp_forest_mod,1000,1,0.001,1e-4,0.632,56,Eigen,16,0.8,0.008409347931997102,0.008783884299838451,1.5346879438400631,1.5331865267117488,1.2388252273182296,1.2382190947937077,0.15867542483221977,0.15912496924847788,0.9851543150549478,0.9835581052985454
40,24.072999999999865,5,gamma,temp_forest_mod,300,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.00586600263902648,0.005598468411242785,1.5386242872797717,1.5381136426504547,1.2404129503031527,1.2402070966779921,0.15884637436344257,0.15934034885545834,0.9870472712987413,0.9858924149137523
41,29.60900000000038,5,gamma,temp_forest_mod,500,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.008695317581656203,0.008168580456170305,1.5342453477216742,1.5341382622091884,1.2386465790215038,1.238603351444355,0.15865581445362528,0.15918495213955697,0.985414159968636,0.984231173918691
42,48.79699999999957,5,gamma,temp_forest_mod,1000,2,0.001,1e-4,0.632,56,Eigen,16,0.8,0.013514974220793063,0.012455840424768883,1.5267859501142986,1.5275068433730217,1.235631802000215,1.235923477960113,0.15833057440706136,0.15892291152376758,0.9824743087142459,0.9813544392419017
43,25.485000000000127,5,gamma,temp_forest_mod,300,3,0.001,1e-4,0.632,56,Eigen,16,0.8,0.007392000471723725,0.006416395405376973,1.5362624956762685,1.5368484950934513,1.2394605664063172,1.2396969367928,0.15874028814782098,0.15929335575595038,0.9861235217720274,0.9853437999947329
